               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10186,            0.025437,                   0,          0.00024681,            0.068027,          0.00012254,          2.8806e-05,             0.12873,            0.024587,                   0,             0.00257,             0.00257,             0.07687
                   1,            0.092191,            0.022641,                   0,          0.00097959,             0.20408,          0.00059676,          9.5481e-05,            0.092442,            0.018023,                   0,           0.0051499,           0.0051499,             0.05365
                   2,            0.089127,            0.021752,                   0,           0.0014745,             0.07483,          0.00066102,          0.00014006,            0.090781,            0.015638,                   0,           0.0077292,           0.0077292,            0.030429
                   3,            0.088351,            0.021602,                   0,            0.010934,           0.0068027,            0.001193,          0.00023195,            0.085354,            0.016315,                   0,           0.0099978,           0.0099978,           0.0099978
                   4,            0.087932,             0.02061,                   0,           0.0065202,            0.095238,           0.0026218,          0.00039573,            0.083965,            0.016104,                   0,           0.0099978,           0.0099978,           0.0099978
                   5,            0.083859,            0.020725,                   0,            0.013612,            0.013605,           0.0022518,          0.00040518,            0.089977,            0.014274,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.080658,            0.020106,                   0,            0.018632,             0.27891,           0.0086246,           0.0015425,            0.078458,             0.01542,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.08006,            0.020791,                   0,           0.0040267,            0.088435,          0.00091513,          0.00019394,              0.1042,            0.011989,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.07673,            0.019607,                   0,             0.04766,             0.15646,            0.016328,           0.0028451,            0.073277,            0.015105,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.075298,            0.019894,                   0,            0.030619,             0.16327,             0.01812,            0.003095,             0.07278,            0.014755,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.073981,            0.019564,                   0,            0.037762,            0.027211,           0.0034961,          0.00051276,            0.088311,            0.012463,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.073243,            0.019508,                   0,             0.12542,            0.054422,            0.026878,            0.004284,            0.073007,            0.014005,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.070638,            0.019757,                   0,            0.069833,             0.07483,            0.021428,           0.0039893,            0.072076,            0.014204,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.069027,            0.019756,                   0,             0.05383,             0.12245,            0.020621,           0.0036379,            0.070972,            0.014325,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.070368,            0.019892,                   0,              0.0502,             0.29932,            0.035326,           0.0062471,            0.068453,            0.014213,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.067667,            0.019757,                   0,             0.03188,             0.14286,            0.015378,           0.0025919,             0.07702,            0.014509,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.066928,            0.018974,                   0,            0.079866,             0.34188,            0.055185,            0.013689,            0.066107,            0.013739,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.067549,            0.019725,                   0,            0.095742,            0.054422,            0.033896,            0.006949,            0.071605,            0.014793,                   0,            0.009937,            0.009937,            0.009937
                  18,              0.0656,            0.018412,                   0,            0.092648,              0.2381,            0.050126,           0.0092523,            0.068059,            0.013374,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.066763,            0.019462,                   0,             0.14937,             0.27891,            0.086373,            0.018987,            0.068973,            0.013588,                   0,           0.0099203,           0.0099203,           0.0099203
